libutempter 1.2.1-4
libuv 1.49.2-1
libva 2.22.0-1
libva-intel-driver-g45-h264 2.4.1-1
libva-utils 2.22.0-1
libvdpau 1.5-3
libvdpau-va-gl 0.4.2-4
libverto 0.3.2-5
libvisio 0.1.8-1
libvorbis 1.3.7-3
libvpl 2.13.0-1
libvpx 1.14.1-1
libwacom 2.14.0-1
libwbclient 2:4.21.2-1
libwebp 1.4.0-3
libwireplumber 0.5.7-1
libwpd 0.10.3-5
libwps 0.4.14-2
libx11 1.8.10-1
libx86emu 3.5-4
libxau 1.0.11-3
libxaw 1.0.16-1
libxcb 1.17.0-1
libxcomposite 0.4.6-2
libxcrypt 4.4.36-2
libxcursor 1.2.3-1
libxcvt 0.1.2-2
libxdamage 1.1.6-2
libxdmcp 1.1.5-1
libxext 1.3.6-1
libxfixes 6.0.1-2
libxfont2 2.0.7-1
libxft 2.3.8-2
libxi 1.8.2-1
libxinerama 1.1.5-2
libxkbcommon 1.7.0-2
libxkbcommon-x11 1.7.0-2
libxkbfile 1.1.3-1
libxklavier 5.4-5
libxml2 2.13.5-1
libxmlb 0.3.21-1
libxmu 1.2.1-1
libxpm 3.5.17-2
libxrandr 1.5.4-1
libxrender 0.9.11-2
libxshmfence 1.3.2-2
libxslt 1.1.42-1
libxss 1.2.4-2
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.12-2
libxvmc 1.0.14-1
libxxf86vm 1.1.5-2
libyaml 0.2.5-3
libytnef 1:2.1.2-2
libyuv r2426+464c51a03-1
libzmf 0.0.2-16
licenses 20240728-1
lightdm 1:1.32.0-6
lightdm-gtk-greeter 1:2.0.9-1
lightdm-gtk-greeter-settings 1.2.3-2
lilv 0.24.24-2
linux 6.12.4.arch1-1
linux-api-headers 6.10-1
linux-atm 2.5.2-9
linux-firmware 20241111.b5885ec5-1
linux-firmware-marvell 20241111.b5885ec5-1
linux-firmware-whence 20241111.b5885ec5-1
linux-headers 6.12.4.arch1-1
livecd-sounds 1.0-3
llvm-libs 18.1.8-4
lm_sensors 1:3.6.0.r41.g31d1f125-3
lmdb 0.9.33-1
lollypop 1.4.40-1
low-memory-monitor-git 2.1.r8.g5f54a19-1
lpsolve 5.5.2.11-3
lrzip 0.651-3
lsb-release 2.0.r53.a86f885-2
lsscsi 0.32-2
lua 5.4.7-1
lua52 5.2.4-7
lua52-bitop 1.0.2-9
lua52-expat 1.5.1-1
lua52-lpeg 1.1.0-3
lua52-luajson 1.3.4-3
lua52-socket 1:3.1.0-1
lv2 1.18.10-1
lvm2 2.03.28-1
lynx 2.9.2-1
lz4 1:1.10.0-2
lzo 2.10-5
lzop 1.04-4
m4 1.4.19-3
mailcap 2.1.54-2
make 4.4.1-2
man-db 2.13.0-1
man-pages 6.9.1-1
mc 4.8.32-1
md4c 0.5.2-1
mdadm 4.3-2
media-player-info 26-1
memtest86+ 7.00-1
memtest86+-efi 7.00-1
mesa 1:24.3.1-3
mesa-demos 9.0.0-5
mhwd-amdgpu 19.1.0-1
mhwd-ati 19.1.0-1
mhwd-db-garuda 2:1.1.6-1
mhwd-garuda 1.1.4-3
mhwd-nvidia 565.77.1-1
mhwd-nvidia-390xx 390.143-1
mhwd-nvidia-470xx 470.94-1
mintstick 1.6.2-1
mjpegtools 2.2.1-2
mkinitcpio 39.2-2
mkinitcpio-archiso 71-1
mkinitcpio-busybox 1.36.1-1
mkinitcpio-nfs-utils 0.3-8
mkinitcpio-openswap 0.1.0-3
mobile-broadband-provider-info 20240407-1
modemmanager 1.22.0-1
mojave-gtk-theme-git r566.9e227a8-1
mpdecimal 4.0.0-2
mpfr 4.2.1-4
mpg123 1.32.9-1
msgraph 0.2.3-2
mtdev 1.1.7-1
mtools 1:4.0.46-1
muffin 6.4.1-1
mx-samba-config-git 24.3.r5.gd578515-1
mx-service-manager 24.3.02-1
mythes-es 1:2.8-2
nano 8.2-1
nbd 3.26.1-1
ncurses 6.5-3
ndisc6 1.0.8-1
nemo 6.4.3-1
nemo-emblems 6.4.0-1
nemo-engrampa 6.2.0-1
nemo-python 6.4.0-1
nemo-share 6.4.0-1
neofetch 7.1.0-2
neon 0.34.0-1
net-snmp 5.9.4-5
net-tools 2.10-3
nettle 3.10-1
network-manager-applet 1.36.0-1
networkmanager 1.50.0-1
nfs-utils 2.8.1-1
nfsidmap 2.8.1-1
nftables 1:1.1.1-1
nilfs-utils 2.2.11-1
nm-connection-editor 1.36.0-1
nmap 7.95-1
noto-fonts 1:2024.12.01-1
noto-fonts-extra 1:2024.12.01-1
npth 1.8-1
nspr 4.36-1
nss 3.107-1
nss-mdns 0.15.1-2
ntfs-3g 2022.10.3-1
numactl 2.0.19-1
numlockx 1.2-6
nvme-cli 2.11-1
oath-toolkit 2.6.12-1
ocl-icd 2.3.2-2
